PowerDemand,HeatDemand,PV,Wind
124.5131933,169.2361272,146.6661744,249.6071249
125.3168586,164.4137011,20.30120182,244.7973416
134.0184144,160.4790497,0,245.2073056
149.1868741,156.4899444,0,247.3550951
146.3567003,153.6963635,0,253.7681539
137.0364956,151.9353915,0,251.8761015
128.2597768,150.8082205,0,250.3422605
120.4283766,150.7497298,0,247.2399525
111.4174963,151.3834008,0,247.0383621
101.9296205,153.0315208,0,245.4700659
96.08714724,155.4038233,0,239.0873343
93.66458784,158.7905748,0,237.4351696
92.01967579,163.1955403,0,232.0628829
92.1324202,168.6691862,0,223.032329
93.5576252,174.5592648,0,219.3158604
102.4441975,181.0472158,0,202.5327073
124.3917762,187.5351657,0,172.0387387
149.8084138,193.0991885,0,170.2532201
157.5762146,197.7033556,42.6244888,157.2464967
155.9717749,199.4998939,125.5889206,131.8800499
157.8161579,199.626111,188.3216807,118.7661596
156.7002773,197.6510354,248.771835,91.95971451
153.6706326,193.7562496,248.6899348,85.14147504
154.373117,188.7383284,248.6079346,75.78861639
152.7773499,182.9195591,145.5330715,50.30740958
149.4181447,178.097106,20.14406142,37.10036854
155.5930693,173.6190067,0,31.10170674
168.9807455,170.2819791,0,34.09265461
160.9383108,168.5752125,0,36.24295098
151.4099626,167.9010548,0,35.96204921
141.1213123,168.1867506,0,47.8868747
132.2029403,168.997706,0,63.4041071
121.1713333,170.6095072,0,80.27465302
108.8330475,172.0402318,0,78.18822513
101.3601166,173.7604024,0,87.77275474
98.62245106,176.495022,0,101.5772109
97.28686342,181.8781178,0,127.1175148
97.960439,188.7646304,0,108.2222774
98.58486959,196.3929806,0,95.05259568
105.3784431,205.3812874,0,83.51022243
126.7449545,214.0428931,0,82.84355319
151.8696129,221.8892558,0,94.68904096
159.3512164,226.1673435,124.6252181,71.22844765
158.7528037,226.9856975,309.2316893,70.46114112
160.6174229,224.3947841,473.6962091,78.33283958
159.6374137,219.3765256,535.7819676,77.81663158
156.338917,212.6559252,515.5959161,66.45020994
156.8477123,205.4642942,413.2232547,58.35400448
154.5060976,198.6673407,206.5402272,48.49284767
150.638097,193.8448605,42.18180767,49.17005848
154.815422,190.670944,0,58.47341973
168.8708919,188.6380992,0,65.56264828
161.6610314,187.3660421,0,67.99826723
151.7481958,187.2352782,0,74.6613998
142.5378447,186.2167374,0,78.42727572
133.070205,184.9626672,0,89.88350412
121.596293,184.9441793,0,81.17241443
109.2926978,185.0706674,0,87.79443556
101.2733902,186.6821269,0,99.92739475
96.76072283,187.460405,0,84.4336373
94.83539519,189.9090021,0,80.24261361
95.13026519,193.8610161,0,87.27309807
97.81878577,196.9252531,0,82.73110046
106.0780366,201.5655198,0,74.40136772
128.5719921,204.5755233,0,88.65790677
153.3613082,207.5310729,0,78.12817689
159.3425437,209.9615033,101.5161591,64.62426255
159.1864361,210.5624622,286.791332,70.56781453
160.9383108,209.7104682,449.8808483,65.73852379
158.5764599,205.9963925,511.4463055,64.16423937
155.5757241,201.6668163,491.4294544,61.62241938
155.6393235,196.2141047,409.7446459,62.77977689
153.8787761,190.1779134,204.7987227,64.25493202
149.8373226,184.0511967,41.82553676,76.65681461
154.3788988,179.2469913,0,77.26680016
170.5418219,175.2578051,0,83.82058071
163.4100152,172.1380909,0,75.75349769
153.9076849,170.2683539,0,52.65688221
145.3246553,168.9237339,0,57.80917494
135.6344177,167.2349003,0,55.11121417
123.9697074,166.2382284,0,49.85964329
112.4177416,165.7125849,0,48.01058597
103.4560063,166.1284921,0,61.95942098
99.48682488,167.34148,0,69.74358824
97.81878577,169.1379455,0,54.16374477
98.49814312,172.8725644,0,56.05768171
101.0189925,176.2628272,0,53.50535719
109.5904587,180.2509623,0,53.34383184
132.3214665,184.3477804,0,52.1148393
156.6424596,188.7161971,0,43.48916759
162.4386787,193.2115995,80.94569661,37.46793466
160.9498743,196.9643717,223.0649694,39.97303353
161.6668131,199.8076117,384.7537821,32.04269617
158.6342776,201.4190323,445.7991379,27.76528109
155.1825641,200.7846901,445.6333375,25.95302558
155.1420917,199.027212,323.1822249,22.88335285
152.1500285,196.3602029,161.5309123,28.91643746
147.6344703,193.4939838,19.63832013,22.13757086
152.8207132,190.7547504,0,16.3403434
170.3568055,188.1784313,0,17.68405154
164.7542755,187.4497415,0,23.85908636
155.4658705,187.8623449,0,23.00283408
146.5619529,189.3434858,0,29.69915215
137.0422774,191.2412022,0,25.54146844
